"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","-----BEGIN CERTIFICATE----- MIIJwzCCB6ugAwIBAgIQQ74LX20cmx77Gmk+0PQWfjANBgkqhkiG9w0BAQsFADB9 MQswCQYDVQQGEwJGUjESMBAGA1UECgwJREhJTVlPVElTMRwwGgYDVQQLDBMwMDAy IDQ4MTQ2MzA4MTAwMDM2MR0wGwYDVQRhDBROVFJGUi00ODE0NjMwODEwMDAzNjEd MBsGA1UEAwwUQ2VydGlnbmEgU2VydmljZXMgQ0EwHhcNMjAwOTI1MTIxOTQ2WhcN MjEwOTI1MTIxOTQ2WjCBvzELMAkGA1UEBhMCRlIxGTAXBgNVBAcMEFBBUklTIExB IERFRkVOU0UxIDAeBgNVBAoMF1NHIE1JTiBUUkFOUyBFQ09MIFNPTElEMRwwGgYD VQQLDBMwMDAyIDEzMDAxOTU0MDAwMDI1MUEwPwYDVQQDDDhwb3J0YWlsLmNlbnRy ZS1zZXJ2ZXVyLmRpbi5kZXZlbG9wcGVtZW50LWR1cmFibGUuZ291di5mcjESMBAG A1UEBRMJUzE3NjI5MDEwMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA 5iWjoTBEhwFO8krvkBeHIj2x5zJn8gOAjU3WZqIiGb5Q60sbPh+gY6uSYoyq3zb8 /X0hzP3rkgXKAhc9S6Quqv0GDdMGMitqq3aMXFKMUr9Cray3GBy3CQex+etsiuC6 gk4ShM4G1mniw2oHusE1DsFsX5YPwTv9g+7BzKM4Bvl+2X8NdaOGO22I36Fy9M23 T6KHiAV+ixfhcio6ZDdlzjVJO54NQ2NnXkZTkV4z676dUjGYG4+WfzdOzPuBDSr6 HDv7Q/JEanNnWhUZ7VvmIHmJ+NBL6O7BFuf1IrNVHWlXFPlZSCILloCJstnkwAxM 2VVsvqF5JfZg8x2M9c/uTQIDAQABo4IE+jCCBPYwCQYDVR0TBAIwADAOBgNVHQ8B Af8EBAMCBaAwEwYDVR0lBAwwCgYIKwYBBQUHAwEwZQYDVR0fBF4wXDAroCmgJ4Yl aHR0cDovL2NybC5jZXJ0aWduYS5mci9zZXJ2aWNlc2NhLmNybDAtoCugKYYnaHR0 cDovL2NybC5kaGlteW90aXMuY29tL3NlcnZpY2VzY2EuY3JsMIHkBggrBgEFBQcB AQSB1zCB1DA2BggrBgEFBQcwAoYqaHR0cDovL2F1dG9yaXRlLmNlcnRpZ25hLmZy L3NlcnZpY2VzY2EuZGVyMDgGCCsGAQUFBzAChixodHRwOi8vYXV0b3JpdGUuZGhp bXlvdGlzLmNvbS9zZXJ2aWNlc2NhLmRlcjAuBggrBgEFBQcwAYYiaHR0cDovL3Nl cnZpY2VzY2Eub2NzcC5jZXJ0aWduYS5mcjAwBggrBgEFBQcwAYYkaHR0cDovL3Nl cnZpY2VzY2Eub2NzcC5kaGlteW90aXMuY29tMB0GA1UdDgQWBBRThLHuAPlWBoom RcBF5F+ZkeqLWDAfBgNVHSMEGDAWgBSs7IaPSzccuH8XGxnQruhO4zRcEjCB5AYD VR0RBIHcMIHZgjhwb3J0YWlsLmNlbnRyZS1zZXJ2ZXVyLmRpbi5kZXZlbG9wcGVt ZW50LWR1cmFibGUuZ291di5mcoI0cG9ydGFpbC5jZW50cmUtc2VydmV1ci5kZXZl bG9wcGVtZW50LWR1cmFibGUuZ291di5mcoI0cmVkbWluZS1jcy5hcHBsaWNhdGlv bi5kZXZlbG9wcGVtZW50LWR1cmFibGUuZ291di5mcoIxcmVkbWluZS5hcHBsaWNh dGlvbi5kZXZlbG9wcGVtZW50LWR1cmFibGUuZ291di5mcjBUBgNVHSAETTBLMAgG BmeBDAECAjA/BgsqgXoBgTECBQEBATAwMC4GCCsGAQUFBwIBFiJodHRwczovL3d3 dy5jZXJ0aWduYS5mci9hdXRvcml0ZXMvMIIB9wYKKwYBBAHWeQIEAgSCAecEggHj AeEAdwBElGUusO7Or8RAB9io/ijA2uaCvtjLMbU/0zOWtbaBqAAAAXTFNIO9AAAE AwBIMEYCIQCnCxgF60hLvVR8KF2aam3ZxqEfu4gWLqPZa3C86xRlnAIhAJGNWUfX Hs22PJSeZqHGeJ8NpeZNTKaFyOdAVesI5TvEAHcAb1N2rDHwMRnYmQCkURX/dxUc EdkCwQApBo2yCJo32RMAAAF0xTSEcAAABAMASDBGAiEAka9MH52TYtxLhbNJmAap F7ET4jEaZX6RFZloKPMxf0ACIQD41KD5Z17nUm3YOrBJxRcxFZyEkSOJZrk29HYc mxKIbAB1AFzcQ5L+5qtFRLFemtRW5hA3+9X6R9yhc5SyXub2xw7KAAABdMU0hscA AAQDAEYwRAIgZJHIMjLN3jqsJAcbzpcxjgo9x0o1to/X4lZ+83vbc8YCIECj1s33 D/51F2b3Damy4mc2wSNL82DHoqWREAWsvx7fAHYA9lyUL9F3MCIUVBgIMJRWjuNN Exkzv98MLyALzE7xZOMAAAF0xTSHdQAABAMARzBFAiEA7Cjeuwp8J+mqe9f+kApi rHzTZqB/8m2UIw51CSQ3/mMCIG5QhUdrGRTKDGCq5UQWAoA1/7yY2A0brIG305BF yBAhMA0GCSqGSIb3DQEBCwUAA4ICAQBOan4TNkrVDS+Nqa2ksm6ckSIq1/eUmfj8 ufhCOanFjn8zqlaecfX3V/q9OUR6KhdswrMXYiMyp0BpRZCqXfSWGIO6Jbg8GM1o PJpnaZE1a8ETdPFRPlXP9WID+dZPp6fdyskZiV4Un/OaWdX2UYTxqdQ9mg9QEBjz hni0T+ifnpBGHUTRBMccSS1NSfzN6lai/NGBnz1U1iDd45XdOhXhtfLTIrH+SdSe WfnvXTqflGX0nuTghnwoXKyAd5LWQ//G4K1wXkDYECxGVRaUj1TLgbpwYNsKba3G it2qcvjLw3tOowPnwNWD/4GNX5jRS9QFf1a/C3CiZJSUwcSzWJJJ4bo+BhTlUpIM XJ8FmpCcc8GsTMdikZRPYX0QIKNOxIE4LVW5ATX/BDHhcCH1CQFyXJ8e0X3D1jSV mzWkcSjEUm6ItsJdltICMrl1xkpAA03dGr6+5G6cMgDVzgymvsHGC3byy3zVPPdJ KXJRuFjLWFLOXoc7OriDjt1o3bfLWVRXia9Xzkv3z9LzANFDLwykPkcUjfujtJNv X83F8XqKf3O5FfMTpuZknT+N7gpBh1LZ+ZNKromixMvQ2uUsGKjcxC+8M7pCo7vy EKnnfnsxiCwZ3Xt1YAKeG7IPJKSShv4tL+S7OG+Bd8EB0jUeRtsaFyKs5IrACdk3 ot6Lw8o/3w== -----END CERTIFICATE-----","",""
"cert_commonName","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","OK","portail.centre-serveur.din.developpement-durable.gouv.fr","",""
"cert_commonName_wo_SNI","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","portail.centre-serveur.din.developpement-durable.gouv.fr","",""
"cert_subjectAltName","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","portail.centre-serveur.din.developpement-durable.gouv.fr portail.centre-serveur.developpement-durable.gouv.fr redmine-cs.application.developpement-durable.gouv.fr redmine.application.developpement-durable.gouv.fr","",""
"cert_trust","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","HIGH","certificate does not match supplied URI (same w/o SNI)","",""
"cert_chain_of_trust","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","CRITICAL","failed (chain incomplete).","",""
"cert_certificatePolicies_EV","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","no","",""
"cert_expirationStatus","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","HIGH","expires < 30 days (15)","",""
"cert_notBefore","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","INFO","2020-09-25 12:19","",""
"cert_notAfter","tepcv.din.developpement-durable.gouv.fr/194.5.170.153","443","HIGH","2021-09-25 12:19","",""
